citynumber;cityfile;country;LU_k_fact;POP_l_fact;;;totpop;lostpop;totsurf(km2);totgreen(km2);%greensurf;totforest(km2);%forestsurf;totwater(km2);%watersurf
231;pl011l_bialystok;PL;4.841987798;2.862084558;206526.7493;6.195802478;514073.9162;13173.5612;5114.5136;6.2196;0.121607;952.630257;18.626019;17.264076;0.337551
232;pl027l_kalisz;PL;5.557592342;3.137553392;179934.0323;5.398020969;390211.0603;23879.0732;3103.5268;3.7332;0.120289;365.08878;11.763674;8.696901;0.280226
233;pl007l_szczecin;PL;3.969198535;2.506889636;251940.0305;7.558200914;765010.3399;25582.8832;6045.7292;13.5828;0.224668;1030.156961;17.039416;103.769735;1.716414
234;pl019l_jelenia_gora;PL;9.78123886;4.573646308;102236.5382;3.067096145;125975.2477;3389.0768;585.6424;1.8192;0.310633;132.41479;22.610178;3.23478;0.552347
235;pl016l_opole;PL;6.816910556;3.595216629;146694.018;4.400820541;259356.8714;10536.7076;1693.2216;2.7156;0.160381;386.740419;22.840508;16.129603;0.952598
236;pl020l_nowy_sacz;PL;8.763177808;4.250510394;114113.8548;3.423415644;156945.8016;9094.38;448.36;0.4408;0.098314;85.33759;19.033275;1.735009;0.386968
237;pl015l_rzeszow;PL;6.0500667;3.320270309;165287.4339;4.958623018;329270.3495;15107.8564;1273.5772;3.4432;0.270357;173.197595;13.599301;2.0332;0.159645
238;pl021l_suwalki;PL;12.53460353;5.396022283;79779.1488;2.393374464;76709.9583;6931.9936;618.3192;0.3928;0.063527;68.338408;11.052286;17.005812;2.750329
239;pt005l_coimbra;PT;7.138009068;3.707245928;140095.0868;4.202852604;236547.7162;8538.4604;1252.9248;3.0732;0.245282;320.134182;25.550949;5.717047;0.456296
240;pt003l_braga;PT;7.059820087;3.680123747;141646.6691;4.249400074;241816.3618;8810.748;493.7956;2.5464;0.515679;54.795198;11.096737;1.371796;0.277807
241;pt001l_lisboa;PT;2.23273859;1.708278149;447880.4658;13.43641398;2417670.952;20889.594;1437.126;26.4152;1.838057;34.027565;2.367751;40.001006;2.783403
242;pt006l_setubal;PT;10.00804767;4.644078765;99919.588;2.99758764;120330.0838;6094.7972;172.8332;1.3652;0.789895;13.148393;7.607562;3.223405;1.865038
243;pt008l_aveiro;PT;10.32155624;4.74056518;96884.61472;2.906538442;113131.2493;4495.1288;273.3516;2.0736;0.758583;25.669002;9.390471;11.001397;4.024632
244;pt009l_faro;PT;10.53295261;4.805074072;94940.14042;2.848204212;108635.7306;6390.5832;482.1728;0.4796;0.099466;9.045609;1.87601;22.355602;4.63643
245;pt002l_oporto;PT;3.308208507;2.220216109;302278.4078;9.068352233;1101253.247;16117.962;563.182;14.2804;2.535663;67.184773;11.929496;6.39461;1.135443
246;pt007l_ponta_delgada;PT;10.66741074;4.845880257;93743.46075;2.812303823;105914.3767;416.9792;537.1232;0.4076;0.075886;40.642172;7.566639;3.46561;0.645217
247;pt004l_funchal;PT;8.12081597;4.0401713;123140.3351;3.694210054;182756.8283;2820.762;260.958;0.804;0.308096;50.536202;19.365646;0.148002;0.056715
248;ro004l_craiova;RO;6.159129851;3.36005387;162360.5971;4.870817912;317712.4469;4715.6132;341.3164;2.3792;0.697066;20.80861;6.096575;2.877591;0.843086
249;ro003l_timisoara;RO;6.100678263;3.338761635;163916.2003;4.917486009;323829.7216;5485.3028;236.8292;2.1344;0.90124;5.793003;2.446068;0.694999;0.29346
250;ro002l_cluj_napoca;RO;5.951618913;3.284153216;168021.5106;5.040645317;340253.5928;5614.9196;591.6724;1.334;0.225463;51.962582;8.782323;1.339388;0.226373
251;ro001l_bucuresti;RO;2.377027979;1.781105026;420693.4074;12.62080222;2133066.341;28993.2168;1074.3456;13.2832;1.236399;56.308815;5.24122;12.468201;1.160539
252;ro005l_braila;RO;7.560402116;3.852091519;132268.0969;3.968042908;210854.6389;11941.6196;436.028;0.7528;0.172649;17.940196;4.11446;20.792206;4.768548
253;ro006l_oradea;RO;7.467276517;3.820394013;133917.6335;4.017529006;216146.6368;2356.2108;201.0892;1.158;0.575864;11.158605;5.549082;1.445002;0.718587
254;ro007l_bacau;RO;7.754060527;3.917594288;128964.6884;3.868940653;200453.9306;5239.382;220.7836;1.1788;0.533916;32.605204;14.767947;3.193803;1.446576
