dist;dist_km;indus_av;indus_stdev;count;10%quant;25%quant;50%quant;75%quant;90%quant
16100;16,1;0.148673;0.069062;302;0.057580;0.098718;0.141163;0.190438;0.233274
16200;16,2;0.147768;0.068500;302;0.057071;0.100107;0.141144;0.190951;0.231641
16300;16,3;0.147008;0.067824;302;0.055395;0.097309;0.142449;0.189774;0.228000
16400;16,4;0.146156;0.067228;302;0.056246;0.096601;0.141997;0.187984;0.224266
16500;16,5;0.145318;0.066735;302;0.058175;0.096376;0.141845;0.186159;0.220461
16600;16,6;0.144605;0.066280;302;0.055495;0.096571;0.139684;0.185158;0.221673
16700;16,7;0.143896;0.065873;302;0.057450;0.097699;0.139141;0.183976;0.222341
16800;16,8;0.143223;0.065412;302;0.056402;0.098827;0.139890;0.185711;0.219808
16900;16,9;0.142625;0.065016;302;0.056070;0.097469;0.139907;0.184867;0.219054
17000;17;0.142081;0.064736;302;0.055333;0.096100;0.140558;0.182565;0.221605
17100;17,1;0.141543;0.064396;302;0.053782;0.094897;0.139621;0.182285;0.220042
17200;17,2;0.141012;0.063988;302;0.052651;0.096871;0.138040;0.181205;0.217694
17300;17,3;0.140542;0.063512;302;0.053494;0.098455;0.137580;0.180091;0.215653
17400;17,4;0.140055;0.063042;302;0.054985;0.098990;0.136863;0.179569;0.211497
17500;17,5;0.139563;0.062449;302;0.055541;0.097890;0.135855;0.176413;0.210149
17600;17,6;0.139050;0.061910;302;0.056423;0.095713;0.136542;0.177220;0.208043
17700;17,7;0.138498;0.061325;302;0.056585;0.094111;0.137014;0.177353;0.208122
17800;17,8;0.137922;0.060706;302;0.058460;0.091570;0.136681;0.178114;0.210037
17900;17,9;0.137213;0.060049;302;0.058794;0.092665;0.135585;0.175550;0.208274
18000;18;0.136598;0.059567;302;0.058654;0.091305;0.133603;0.174752;0.207113
18100;18,1;0.136048;0.059208;302;0.058380;0.091180;0.133530;0.173912;0.205190
18200;18,2;0.135544;0.058791;302;0.058376;0.092619;0.134159;0.173772;0.204389
18300;18,3;0.134964;0.058346;302;0.060282;0.090094;0.133342;0.174769;0.202968
18400;18,4;0.134389;0.058037;302;0.061193;0.090273;0.134175;0.173066;0.202788
18500;18,5;0.133866;0.057809;302;0.059851;0.089161;0.132521;0.173167;0.203357
18600;18,6;0.133231;0.057679;302;0.059547;0.087706;0.129746;0.173908;0.202733
18700;18,7;0.132587;0.057496;302;0.060288;0.087086;0.128791;0.171568;0.203868
18800;18,8;0.131981;0.057421;302;0.060374;0.089340;0.127541;0.171891;0.202430
18900;18,9;0.131451;0.057480;302;0.059546;0.090710;0.126071;0.171529;0.201958
19000;19;0.130821;0.057606;302;0.056950;0.089846;0.125640;0.168685;0.203299
19100;19,1;0.130247;0.057747;302;0.055769;0.089459;0.124518;0.167480;0.202741
19200;19,2;0.129554;0.057738;302;0.055044;0.088799;0.124125;0.167974;0.202184
19300;19,3;0.128954;0.057659;302;0.055464;0.087973;0.124641;0.167516;0.201675
19400;19,4;0.128418;0.057542;302;0.056329;0.087623;0.123339;0.166907;0.199917
19500;19,5;0.127916;0.057319;302;0.053273;0.088693;0.122946;0.165458;0.198998
19600;19,6;0.127374;0.057029;302;0.052294;0.086867;0.123996;0.165664;0.198679
19700;19,7;0.126824;0.056778;302;0.053063;0.085938;0.124854;0.163500;0.197611
19800;19,8;0.126269;0.056494;302;0.053978;0.085336;0.123801;0.162849;0.198201
19900;19,9;0.125663;0.056264;302;0.054962;0.084097;0.124490;0.162161;0.196007
20000;20;0.125123;0.056092;302;0.054465;0.083152;0.122004;0.162901;0.194639
20100;20,1;0.124467;0.055849;302;0.053295;0.082866;0.120306;0.161620;0.195682
20200;20,2;0.123649;0.055627;302;0.053150;0.081695;0.119552;0.158504;0.197378
20300;20,3;0.122864;0.055467;302;0.052362;0.080365;0.117190;0.156503;0.197767
20400;20,4;0.122061;0.055309;302;0.052383;0.079437;0.116454;0.154423;0.196193
20500;20,5;0.121402;0.055065;302;0.050581;0.078563;0.116619;0.154584;0.192853
20600;20,6;0.120692;0.054489;302;0.052425;0.078755;0.115107;0.154082;0.190919
20700;20,7;0.119910;0.053966;302;0.050797;0.079030;0.113592;0.151764;0.193094
20800;20,8;0.119270;0.053471;302;0.050493;0.079065;0.115140;0.150742;0.190045
20900;20,9;0.118651;0.052994;302;0.051697;0.079189;0.115268;0.148076;0.190209
21000;21;0.118125;0.052657;302;0.052430;0.078880;0.113546;0.150164;0.190145
21100;21,1;0.117690;0.052240;302;0.053731;0.079020;0.113531;0.148884;0.190175
21200;21,2;0.117134;0.051794;302;0.053541;0.078225;0.113182;0.147122;0.184247
21300;21,3;0.116541;0.051342;302;0.054933;0.078624;0.113135;0.146894;0.185125
21400;21,4;0.115870;0.050890;302;0.054014;0.077916;0.111817;0.144831;0.181764
21500;21,5;0.115326;0.050514;302;0.052684;0.077735;0.110990;0.143858;0.179546
21600;21,6;0.114795;0.050204;302;0.053511;0.077948;0.110369;0.142487;0.180919
21700;21,7;0.114220;0.049956;302;0.053736;0.077809;0.109595;0.141159;0.177538
21800;21,8;0.113588;0.049812;302;0.051231;0.077924;0.108400;0.141896;0.177520
21900;21,9;0.112878;0.049652;302;0.051382;0.076186;0.107124;0.141170;0.177810
22000;22;0.112103;0.049519;302;0.051650;0.075192;0.105477;0.141125;0.176044
22100;22,1;0.111296;0.049316;302;0.052262;0.075152;0.104613;0.141125;0.176404
22200;22,2;0.110494;0.049079;302;0.050443;0.074893;0.103921;0.140264;0.173755
22300;22,3;0.109710;0.048843;302;0.049420;0.074006;0.103017;0.138690;0.173836
22400;22,4;0.108945;0.048690;302;0.048410;0.073718;0.101597;0.138859;0.175827
22500;22,5;0.107999;0.048577;302;0.048946;0.072771;0.099966;0.136863;0.173692
22600;22,6;0.107082;0.048417;302;0.046554;0.071996;0.099669;0.134538;0.175410
22700;22,7;0.106207;0.048219;302;0.047657;0.071167;0.100715;0.131862;0.174058
22800;22,8;0.105380;0.047996;302;0.048751;0.069972;0.099050;0.129865;0.172564
22900;22,9;0.104618;0.047789;302;0.048603;0.069058;0.097970;0.129482;0.172228
23000;23;0.103854;0.047672;302;0.048588;0.069180;0.097793;0.127395;0.172482
23100;23,1;0.103096;0.047593;302;0.046310;0.068714;0.097358;0.128793;0.170329
23200;23,2;0.102418;0.047491;302;0.046803;0.068512;0.096644;0.126693;0.170030
23300;23,3;0.101870;0.047386;302;0.046028;0.068529;0.095961;0.125542;0.168804
23400;23,4;0.101506;0.047327;302;0.044405;0.066934;0.095421;0.125873;0.167240
23500;23,5;0.101151;0.047218;302;0.044242;0.066194;0.095155;0.124787;0.165706
23600;23,6;0.100686;0.047014;302;0.043701;0.065196;0.093318;0.128101;0.163931
23700;23,7;0.100258;0.046743;302;0.043590;0.065704;0.092197;0.128076;0.163900
23800;23,8;0.099789;0.046381;302;0.044501;0.066005;0.092338;0.126558;0.161104
23900;23,9;0.099384;0.046084;302;0.043628;0.065689;0.093255;0.126879;0.160254
24000;24;0.099042;0.045851;302;0.044024;0.065350;0.092956;0.125580;0.159229
24100;24,1;0.098699;0.045600;302;0.043711;0.064877;0.092801;0.124894;0.158450
24200;24,2;0.098241;0.045344;302;0.043727;0.064978;0.092340;0.123717;0.157883
24300;24,3;0.097751;0.045118;302;0.043742;0.064227;0.091732;0.123550;0.155410
24400;24,4;0.097225;0.044881;302;0.043216;0.063593;0.091133;0.123166;0.155075
24500;24,5;0.096611;0.044685;302;0.043773;0.062786;0.090614;0.122099;0.154347
24600;24,6;0.095921;0.044415;302;0.043015;0.062096;0.090621;0.121750;0.154803
24700;24,7;0.095170;0.044103;302;0.042212;0.061651;0.089416;0.120900;0.155297
24800;24,8;0.094436;0.043777;302;0.041197;0.060914;0.089377;0.121114;0.154149
24900;24,9;0.093701;0.043441;302;0.039731;0.060464;0.088546;0.119861;0.152673
25000;25;0.092931;0.043043;302;0.038604;0.059857;0.087790;0.119223;0.153108
25100;25,1;0.092138;0.042662;302;0.038945;0.059439;0.087581;0.118857;0.152010
25200;25,2;0.091423;0.042289;302;0.038981;0.059597;0.087499;0.120049;0.150406
25300;25,3;0.090732;0.042003;302;0.037365;0.057476;0.088511;0.118950;0.148913
25400;25,4;0.089966;0.041822;302;0.036136;0.056573;0.087489;0.117037;0.146940
25500;25,5;0.089067;0.041541;302;0.034615;0.057286;0.087285;0.115769;0.145682
25600;25,6;0.088181;0.041339;302;0.034245;0.055475;0.085200;0.113210;0.146437
25700;25,7;0.087365;0.041185;302;0.035000;0.054944;0.084067;0.111769;0.142538
25800;25,8;0.086595;0.040947;302;0.034409;0.054419;0.081698;0.111224;0.142075
25900;25,9;0.085940;0.040698;302;0.034169;0.054234;0.080280;0.111366;0.141643
26000;26;0.085291;0.040499;302;0.032945;0.054185;0.079881;0.110610;0.139921
26100;26,1;0.084617;0.040265;302;0.033951;0.055179;0.079283;0.110380;0.138038
26200;26,2;0.083952;0.040020;302;0.034042;0.055631;0.078225;0.110516;0.137838
