"dist_km","country_2","mean_diff"
0.6,"EE",-1.15704700594937e-18
0.6,"EL",-6.93889390390723e-18
0.6,"ES",6.09234829067738e-18
0.6,"FI",0
0.6,"FR",6.86911063531295e-18
0.6,"HR",9.9272261418204e-19
0.6,"HU",-2.01094537814458e-18
0.6,"IE",0
0.6,"IS",0
0.6,"IT",-1.06601113157066e-18
0.6,"LT",-2.31268229031999e-18
0.6,"LU",0
0.6,"LV",3.46944695195361e-18
0.6,"ME",0
0.6,"MK",-8.67361737988404e-19
0.6,"MT",0
0.6,"NL",4.36797950240098e-18
0.6,"NO",1.73472347597681e-18
0.6,"PL",-9.50955127472604e-19
0.6,"PT",-1.15754110850194e-18
0.6,"RO",-2.27983757941765e-18
0.6,"RS",-2.47745036601208e-18
0.6,"SE",-1.15930576047539e-18
0.6,"SI",0
0.6,"SK",3.03576608295941e-18
0.6,"TR",-2.65805625950615e-18
0.6,"UK",3.55306892802297e-18
0.6,"XK",-2.31296463463574e-18
0.7,"AL",2.60208521396521e-18
0.7,"AT",3.46944695195361e-18
0.7,"BA",-1.38777878078145e-18
0.7,"BE",6.93889390390723e-18
0.7,"BG",1.8343744109479e-18
0.7,"CH",1.04083408558608e-18
0.7,"CY",0
0.7,"CZ",-3.69803290998597e-18
0.7,"DE",-2.7595406979259e-18
0.7,"DK",-3.46944695195361e-18
0.7,"EE",2.31239994600424e-18
0.7,"EL",0
0.7,"ES",-2.95800149648683e-18
0.7,"FI",1.98193609186831e-18
0.7,"FR",-2.92475374078794e-18
0.7,"HR",0
0.7,"HU",1.45850157380904e-18
0.7,"IE",-5.55247037584139e-18
0.7,"IS",0
0.7,"IT",-5.6823406941066e-18
0.7,"LT",-2.31268229031999e-18
0.7,"LU",0
0.7,"LV",0
0.7,"ME",0
0.7,"MK",1.73472347597681e-18
0.7,"MT",0
0.7,"NL",4.75074159079452e-18
0.7,"NO",4.62536458063998e-18
0.7,"PL",3.34242121789813e-18
0.7,"PT",-2.89226458447875e-18
0.7,"RO",2.47785573177969e-18
0.7,"RS",-2.46970606478004e-19
0.7,"SE",2.31127056874123e-18
0.7,"SI",0
0.7,"SK",8.67361737988404e-19
0.7,"TR",-4.18630430941936e-18
0.7,"UK",-5.31706009562406e-18
0.7,"XK",-4.62592926927149e-18
0.8,"AL",0
