Column1;country;fua_code;fua_name;perimeter;area;Pop2018;Type;Rescaling_factors_2018;Kfact_exp0_2018;Kfact_exp01_2018;Kfact_exp02_2018;Kfact_exp03_2018;Kfact_exp04_2018;Kfact_exp06_2018;Kfact_exp07_2018;Kfact_exp08_2018;Kfact_exp09_2018;Kfact_exp1_2018;geom
79;DE;DE008L2;Leipzig;415582,9126;3976002235;1034643;0;3,4480427;1;1,280897939;1,640699531;2,101568648;2,691894951;4,416590783;5,657202032;7,246298426;9,281768721;11,88899843;c(924320.440788864, 6012688.7861011)
80;DE;DE019L2;Magdeburg;524087,5522;4169319526;502755;0;4,9464053;1;1,376759049;1,895465478;2,609599248;3,592789377;6,810008234;9,375740456;12,90813551;17,77139236;24,46692524;c(859962.72968586, 6094822.98317691)
81;DE;DE031L1;Schwerin;512425,6199;4898308375;307995;0;6,3196942;1;1,445903179;2,090636004;3,022857246;4,370758903;9,13766593;13,21218022;19,10353339;27,62185967;39,93853472;c(824607.042780877, 6248358.2816205)
82;DE;DE042L1;Koblenz;258039,5425;922622485,2;329171;0;6,1130383;1;1,43632071;2,063017183;2,963154306;4,256039899;8,780283444;12,61130295;18,11387562;26,0173347;37,36923666;c(575202.562584844, 5911152.15438291)
83;DE;DE030L1;Weimar;205401,1931;888795421,2;146404;0;9,1662442;1;1,557536687;2,425920532;3,778460229;5,885090427;14,2767617;22,23658012;34,63428934;53,94417627;84,02003361;c(850534.04571031, 5975641.95645496)
84;DE;DE039L1;Kiel;478787,4628;3397102677;645777;0;4,3644207;1;1,34271958;1,802895871;2,420783587;3,250433521;5,860193173;7,868596117;10,56531807;14,18625945;19,04816833;c(724744.432554476, 6318266.85511436)
85;DE;DE032L1;Erfurt;478935,5109;2856716468;527675;0;4,8281932;1;1,370114705;1,877214305;2,571998923;3,523933545;6,61517846;9,063553283;12,41810763;17,01423187;23,31144928;c(828038.762215664, 5975482.54178668)
86;DE;DE034L1;Bonn;251817,2333;1293799470;924687;0;3,6472919;1;1,295370803;1,677985518;2,173613448;2,815635399;4,724595423;6,120102968;7,927802697;10,26944415;13,30273812;c(535016.954378984, 5950223.90309885)
87;DE;DE037L1;Mainz;199059,0824;703204740,3;420275;0;5,410048;1;1,401652073;1,964628534;2,753725657;3,859765275;7,583004993;10,62873467;14,89778798;20,88151541;29,26861936;c(629565.668528837, 5873569.84820949)
88;DE;DE020L1;Wiesbaden;211329,662;1015795411;468379;0;5,1247088;1;1,386544581;1,922505875;2,665640103;3,69602884;7,10563716;9,852282699;13,66062919;18,94107137;26,26263987;c(626247.473790682, 5882042.90888336)
89;DE;DE027L1;Freiburg im Breisgau;334665,5738;2211182641;656838;0;4,3275168;1;1,340441152;1,796782482;2,40848118;3,228427287;5,800781593;7,775606361;10,42274275;13,9710733;18,72740158;c(612375.422914982, 5662071.12413165)
90;DE;DE002L1;Hamburg;714228,6744;7344587456;3306469;0;1,9287932;1;1,140399804;1,300511712;1,483103301;1,691330713;2,199595401;2,508418163;2,86059958;3,262227199;3,720243256;c(723149.880836684, 6240046.36058922)
91;DE;DE007L1;Stuttgart;532882,2873;3654225500;2779413;0;2,1037366;1;1,160374753;1,346469567;1,56240929;1,812980294;2,441122791;2,832617254;3,286897546;3,814032927;4,425707515;c(709170.468979969, 5744599.24847723)
92;DE;DE014L1;Nürnberg;659010,1408;2934316044;1340152;0;3,0296389;1;1,248182742;1,557960157;1,944618981;2,427239851;3,781542979;4,720056684;5,891493294;7,353660253;9,178711818;c(848563.106122529, 5816302.74634988)
93;DE;DE018L1;Halle an der Saale;293256,5584;1576113909;425184;0;5,3787262;1;1,400025313;1,960070877;2,744148844;3,841877845;7,530352878;10,54268465;14,76002537;20,66440915;28,93069589;c(892568.467646331, 6027820.08644372)
94;DE;DE021L1;Göttingen;381999,8681;2388659651;387419;0;5,6347862;1;1,413108432;1,99687544;2,821801521;3,987511523;7,962563826;11,25196608;15,90024814;22,46877472;31,75081501;c(740644.842927791, 6032580.52315621)
95;DE;DE028L1;Regensburg;437693,2845;2538175289;464036;0;5,1486345;1;1,387836841;1,926091097;2,673100183;3,709826914;7,14546459;9,916739003;13,76281573;19,1005427;26,50843685;c(932436.852863443, 5770134.61199482)
96;DE;DE033L1;Augsburg;374263,5856;1997767658;674731;0;4,2697512;1;1,336843328;1,787150084;2,389139666;3,193905423;5,707988345;7,630686137;10,20103185;13,63718137;18,23077493;c(846401.016598111, 5701596.61323761)
97;DE;DE001L1;Berlin;1121255,291;17484358847;5258960;1;1,529389;1;1,088688393;1,185242416;1,290359661;1,404799585;1,665028055;1,812696717;1,973461875;2,148485036;2,339030721;c(985194.937667317, 6134582.68736139)
98;DE;DE038L1;Ruhrgebiet;524790,2418;4439097935;5113576;0;1,5509776;1;1,091744739;1,191906575;1,301257733;1,420641285;1,693271689;1,848620458;2,01822166;2,20338288;2,405531667;c(523262.975092748, 6025305.26990815)
99;DK;DK001L2;København;414783,0104;2912478328;1744378;1;2,6555079;1;1,215708685;1,477947607;1,796753741;2,184329128;3,228324006;3,924701532;4,771293739;5,800503236;7,051722161;c(880074.599732863, 6454187.87294065)
100;DK;DK003L2;Odense;998867,9466;3605906702;490820;0;5,0061836;1;1,380070759;1,904595301;2,628476283;3,62748326;6,908887571;9,534753716;13,1586348;18,15984712;25,06187401;c(730619.64620362, 6426278.57245945)
101;DK;DK002L3;Århus;829706,2337;4625996997;726677;0;4,1143117;1;1,326964908;1,760835866;2,336567403;3,100542948;5,459547229;7,244627585;9,613366575;12,75660009;16,92756066;c(708789.594454085, 6501724.23872757)
102;DK;DK004L3;Aalborg;880084,7504;6203782906;508182;0;4,9199225;1;1,37528166;1,891399644;2,601207243;3,577392615;6,76627912;9,305539581;12,79773792;17,60049426;24,20563696;c(678868.474353131, 6590328.93602002)
103;EE;EE001L1;Tallinn;794656,9717;4390915600;592055;1;4,5581317;1;1,354432524;1,834487463;2,484689485;3,365344251;6,173681837;8,361835474;11,32554193;15,33968234;20,77656468;c(1622198.1762234, 6822808.22505235)
104;EE;EE002L1;Tartu;430952,7509;2994893908;148764;0;9,0932467;1;1,555047984;2,418174233;3,760376967;5,847566622;14,14043493;21,98905484;34,1940354;53,17336582;82,68713533;c(1786260.88954495, 6720645.55742288)
105;ES;ES003L3;Valencia;431541,6975;1751069412;1728719;0;2,6675078;1;1,216805429;1,480615453;1,801620921;2,192222119;3,245837944;3,949553233;4,805837817;5,847769548;7,115597735;c(-32205.3456796011, 4730068.69783737)
106;ES;ES004L3;Sevilla;505577,5256;4682901453;1542974;0;2,8235052;1;1,230715637;1,514660979;1,864116951;2,29419788;3,474932007;4,276653157;5,263343914;6,477679657;7,972181644;c(-520863.949092239, 4495481.76950961)
107;ES;ES005L2;Zaragoza;326597,2019;2761582748;759343;0;4,0248426;1;1,321142854;1,74541844;2,305947099;3,046485531;5,317392024;7,025034474;9,281074093;12,26162471;16,19935787;c(-73362.7475853041, 4973645.95332615)
108;ES;ES008L2;Las Palmas;183472,9305;767537704,6;631769;0;4,4125409;1;1,345667452;1,810820891;2,436762735;3,279072301;5,937812627;7,990321189;10,75231515;14,46904054;19,47051691;c(-1430523.22537421, 3423441.18246338)
109;ES;ES009L2;Valladolid;348972,3605;1156574241;422257;0;5,3973362;1;1,400992768;1,962780737;2,749841619;3,852508222;7,561628927;10,59378744;14,8418196;20,79328193;29,13123761;c(-395376.633752027, 4973247.42769029)
110;ES;ES010L2;Palma de Mallorca;417490,8613;2045649498;673766;0;4,2728077;1;1,337034674;1,787661719;2,390165704;3,195734423;5,712892094;7,638334819;10,2127185;13,65475876;18,25688592;c(225956.2420346, 4741208.97901286)
111;ES;ES019L3;Bilbao;394606,3107;1536220790;1029231;0;3,4570962;1;1,281569885;1,642421369;2,104877765;2,697547955;4,430510406;5,678008711;7,276764969;9,325682843;11,95151429;c(-240522.867689077, 5150886.63876324)
112;ES;ES020L2;Córdoba;340754,6356;1869070288;359224;0;5,8517427;1;1,423826412;2,027281652;2,886497161;4,109870897;8,331865861;11,86313067;16,89103879;24,04990715;34,24289301;c(-413273.909607246, 4551665.79457028)
113;ES;ES022L2;Vigo;322977,7698;1365990518;530693;0;4,8144449;1;1,369333533;1,875074324;2,567602148;3,515903719;6,592580789;9,027441941;12,36157896;16,92712459;23,17887931;c(-725487.257895767, 5037796.10529699)
114;ES;ES023L2;Gijón;152284,0044;534854032,8;290894;0;6,5028018;1;1,454186481;2,114658323;3,075107546;4,471779822;9,456286418;13,75120387;19,99681478;29,07909772;42,2864308;c(-464499.612496894, 5181667.39414474)
115;ES;ES015L2;Santander;244576,4776;697218974,5;376729;0;5,7141728;1;1,417067945;2,00808156;2,84558801;4,032391552;8,09737112;11,47452505;16,26018163;23,04178217;32,6517709;c(-312822.846651841, 5172590.49942272)
116;ES;ES021L2;Alicante/Alacant;136277,0378;360739034,4;459366;0;5,1747393;1;1,389241328;1,929991468;2,681223911;3,724867067;7,18896166;9,987202645;13,87463467;19,2752159;26,77792653;c(-41484.1048847023, 4603608.85135237)
117;ES;ES025L3;Santa Cruz de Tenerife;173103,0925;670609512,2;509688;0;4,9126485;1;1,374874758;1,890280599;2,59889908;3,573160743;6,754276429;9,286284167;12,76747769;17,5536828;24,13411538;c(-1504149.17970762, 3464231.77243626)
