X,Y,fid,country_2,fua_code,Full_code,fua_name,Pop2018_2
5344446.26205122,4162643.05985932,305,EE,EE003L0,EE003L0_NARVA_UA2018_v013,Narva,56182
5528442.02013885,1764535.49914611,142,EL,EL001L1,EL001L1_ATHINA_UA2018_v013,Athina,3792914
5416193.88011331,2041247.55928438,134,EL,EL002L1,EL002L1_THESSALONIKI_UA2018_v013,Thessaloniki,972839
5350722.33011716,1764083.67915787,135,EL,EL003L1,EL003L1_PATRA_UA2018_v013,Patra,217653
5703069.05017332,1501634.70900325,136,EL,EL004L1,EL004L1_IRAKLEIO_UA2018_v013,Irakleio,211082
5387379.29011496,1925734.68923288,137,EL,EL005L1,EL005L1_LARISA_UA2018_v013,Larisa,195098
5436748.18012166,1903235.85921906,138,EL,EL006L1,EL006L1_VOLOS_UA2018_v013,Volos,137524
5253987.84010039,1908350.4092327,139,EL,EL007L1,EL007L1_IOANNINA_UA2018_v013,Ioannina,132739
5531466.77012363,2097786.37930201,140,EL,EL008L1,EL008L1_KAVALA_UA2018_v013,Kavala,64283
5402385.4401284,1637721.48909255,141,EL,EL009L1,EL009L1_KALAMATA_UA2018_v013,Kalamata,69875
3160408.19987882,2029896.33927485,128,ES,ES001L3,ES001L3_MADRID_UA2018_v013,Madrid,6790649
3665282.51993452,2065232.0393178,129,ES,ES002L2,ES002L2_BARCELONA_UA2018_v013,Barcelona,4951677
3426005.00990295,1881067.6892219,106,ES,ES003L3,ES003L3_VALENCIA_UA2018_v013,Valencia,1728719
2904992.63983347,1738954.17911721,107,ES,ES004L3,ES004L3_SEVILLA_UA2018_v013,Sevilla,1542974
3414990.33991053,2126922.24933372,108,ES,ES005L2,ES005L2_ZARAGOZA_UA2018_v013,Zaragoza,759343
3030593.68073794,1638411.55753108,119,ES,ES006L2,ES006L2_MALAGA_UA2018_v013,Málaga,855946
3339988.79988734,1727487.93914297,120,ES,ES007L2,ES007L2_MURCIA_UA2018_v013,Murcia,629073
1816918.59964323,984295.488668386,109,ES,ES008L2,ES008L2_LAS_PALMAS_UA2018_v013,Las Palmas,631769
3098156.61987901,2180934.84933775,110,ES,ES009L2,ES009L2_VALLADOLID_UA2018_v013,Valladolid,422257
3686975.22993159,1861554.59922462,111,ES,ES010L2,ES010L2_PALMA_DE_MALLORCA_UA2018_v013,Palma de Mallorca,673766
2818727.66985931,2383804.46940113,121,ES,ES011L2,ES011L2_SANTIAGO_DE_COMPOSTELA_UA2018_v013,Santiago de Compostela,201315
3287563.39990338,2280698.9093922,124,ES,ES012L2,ES012L2_VITORIA_GASTEIZ_UA2018_v013,Vitoria/Gasteiz,276036
3043994.21988334,2385780.94941923,126,ES,ES013L2,ES013L2_OVIEDO_UA2018_v013,Oviedo,309119
3370161.80991102,2264007.90938988,125,ES,ES014L3,ES014L3_PAMPLONA_IRUNA_UA2018_v013,Pamplona/Iruña,384277
3207650.2498989,2364388.43942144,116,ES,ES015L2,ES015L2_SANTANDER_UA2018_v013,Santander,376729
3122078.3698718,1973697.97924629,127,ES,ES016L2,ES016L2_TOLEDO_UA2018_v013,Toledo,150117
2852887.30983645,1919060.9791992,122,ES,ES017L2,ES017L2_BADAJOZ_UA2018_v013,Badajoz,180918
3299881.67990281,2235820.94937419,123,ES,ES018L2,ES018L2_LOGRONO_UA2018_v013,Logroño,193123
3274748.92990411,2329926.32941158,112,ES,ES019L3,ES019L3_BILBAO_UA2018_v013,Bilbao,1029231
3020705.11984986,1771227.41914236,113,ES,ES020L2,ES020L2_CORDOBA_UA2018_v013,Córdoba,359224
3401679.30989585,1759023.1491619,117,ES,ES021L2,ES021L2_ALICANTE_ALACANT_UA2018_v013,Alicante/Alacant,459366
2787975.83985197,2317756.35937142,114,ES,ES022L2,ES022L2_VIGO_UA2018_v013,Vigo,530693
3062455.79988607,2402804.45942727,115,ES,ES023L2,ES023L2_GIJON_UA2018_v013,Gijón,290894
1748925.04963365,1047566.95868501,118,ES,ES025L3,ES025L3_SANTA_CRUZ_DE_TENERIFE_UA2018_v013,Santa Cruz de Tenerife,509688
2843055.81007437,2433999.91094644,369,ES,ES026L2,ES026L2_CORUNA_A_UA2018_v013,Coruña (A),400350
3573455.79087352,2050144.70831986,382,ES,ES028L1,ES028L1_REUS_UA2018_v013,Reus,118853
2900361.73602795,2378515.24740951,371,ES,ES031L1,ES031L1_LUGO_UA2018_v013,Lugo,120274
3725223.37677859,2126073.50577631,377,ES,ES033L1,ES033L1_GIRONA_UA2018_v013,Girona,178579
2916468.89671656,1972387.07494844,407,ES,ES034L1,ES034L1_CACERES_UA2018_v013,Cáceres,118153
3378996.09523011,1721236.92944133,390,ES,ES035L1,ES035L1_TORREVIEJA_UA2018_v013,Torrevieja,82976
3042169.10058095,2408377.03556532,374,ES,ES039L1,ES039L1_AVILES_UA2018_v013,Avilés,121262
3055975.11857126,1997930.41510265,406,ES,ES040L1,ES040L1_TALAVERA_DE_LA_REINA_UA2018_v013,Talavera de la Reina,99936
3121244.90861684,2216937.72279245,402,ES,ES041L1,ES041L1_PALENCIA_UA2018_v013,Palencia,96925
2858675.96703248,2443057.02664247,370,ES,ES043L1,ES043L1_FERROL_UA2018_v013,Ferrol,145704
2799322.07167123,2337309.10114724,367,ES,ES044L1,ES044L1_PONTEVEDRA_UA2018_v013,Pontevedra,137719
3436194.87377011,1823544.9028912,386,ES,ES046L1,ES046L1_GANDIA_UA2018_v013,Gandia,107226
3208139.34789145,2045491.40473187,400,ES,ES048L1,ES048L1_GUADALAJARA_UA2018_v013,Guadalajara,118039
3639824.0224621,2105848.49163836,378,ES,ES050L1,ES050L1_MANRESA_UA2018_v013,Manresa,126099
3114255.13032646,1877079.70200466,397,ES,ES053L1,ES053L1_CIUDAD_REAL_UA2018_v013,Ciudad Real,105244
3434960.46401447,1776138.57880879,388,ES,ES054L1,ES054L1_BENIDORM_UA2018_v013,Benidorm,143553
2966389.83750264,2310170.76563703,372,ES,ES057L1,ES057L1_PONFERRADA_UA2018_v013,Ponferrada,84945
3011796.04723019,2181872.39272784,403,ES,ES059L1,ES059L1_ZAMORA_UA2018_v013,Zamora,68624
3366901.71041977,2322852.46363653,376,ES,ES070L1,ES070L1_IRUN_UA2018_v013,Irun,77116
