"dist_km","country_2","mean_diff"
0.8,"SK",2.77555756156289e-17
0.8,"TR",-3.06971872993988e-17
0.8,"UK",-1.41592190100341e-17
0.8,"XK",-3.70091282200664e-17
0.9,"AL",2.77555756156289e-17
0.9,"AT",4.62592926927149e-17
0.9,"BA",4.44116314904375e-17
0.9,"BE",5.05078046148219e-18
0.9,"BG",-2.28503579926118e-17
0.9,"CH",-1.1100874993536e-17
0.9,"CY",0
0.9,"CZ",-1.85021359489177e-17
0.9,"DE",3.524779379233e-17
0.9,"DK",2.77555756156289e-17
0.9,"EE",-3.70079988428034e-17
0.9,"EL",-4.93522805569999e-17
0.9,"ES",5.47937955472708e-17
0.9,"FI",-5.55111512312578e-17
0.9,"FR",-4.68034969039361e-17
0.9,"HR",-2.37904933848248e-17
0.9,"HU",-5.25952180199942e-17
0.9,"IE",5.55111512312578e-17
0.9,"IS",0
0.9,"IT",3.1746129337204e-17
0.9,"LT",1.85017406668757e-17
0.9,"LU",0
0.9,"LV",0
0.9,"ME",0
0.9,"MK",1.38777878078145e-17
0.9,"MT",0
0.9,"NL",5.07600224254017e-17
0.9,"NO",-5.55111512312578e-17
0.9,"PL",-9.87231504041219e-19
0.9,"PT",4.16333634234434e-17
0.9,"RO",0
0.9,"RS",0
0.9,"SE",3.70063047769089e-17
0.9,"SI",-2.77555756156289e-17
0.9,"SK",0
0.9,"TR",1.97100108757932e-17
0.9,"UK",1.47705244902653e-17
0.9,"XK",3.70068694655404e-17
1,"AL",2.77555756156289e-17
1,"AT",-9.25185853854297e-18
1,"BA",-4.44143419958687e-17
1,"BE",1.51467971687918e-17
1,"BG",-2.93946341940335e-17
1,"CH",1.6654700622093e-17
1,"CY",0
1,"CZ",-4.81116972794969e-17
1,"DE",4.10814508722283e-17
1,"DK",1.38777878078145e-17
1,"EE",3.70079988428034e-17
1,"EL",2.46776461148506e-17
1,"ES",1.44250871236513e-17
1,"FI",-3.96479181950793e-17
1,"FR",-2.04037990734083e-18
1,"HR",-3.96479181950793e-17
1,"HU",3.50525415528175e-17
1,"IE",-3.33012697278923e-17
1,"IS",0
1,"IT",-6.65765879796768e-18
1,"LT",1.85017406668757e-17
1,"LU",0
1,"LV",4.16333634234434e-17
1,"ME",0
1,"MK",2.77555756156289e-17
1,"MT",0
1,"NL",3.17237555669259e-17
1,"NO",2.77555756156289e-17
1,"PL",-4.11242089980455e-17
1,"PT",3.23744462770066e-17
1,"RO",5.23313411453825e-17
1,"RS",7.93016446160826e-18
1,"SE",-5.55111512312578e-17
1,"SI",2.77555756156289e-17
1,"SK",-1.38777878078145e-17
1,"TR",1.52993765773958e-17
1,"UK",-3.54268826892471e-18
1,"XK",-3.70063047769089e-17
1.1,"AL",2.77555756156289e-17
1.1,"AT",9.25411729306898e-18
1.1,"BA",-3.33012697278923e-17
1.1,"BE",1.51467971687918e-17
1.1,"BG",1.30582585186122e-17
1.1,"CH",4.44089209850063e-17
1.1,"CY",0
1.1,"CZ",-4.07050153132527e-17
1.1,"DE",-2.31038118414662e-17
1.1,"DK",2.77555756156289e-17
1.1,"EE",3.70074341541719e-17
1.1,"EL",-2.46776461148506e-17
1.1,"ES",2.05159269994911e-17
1.1,"FI",3.17254980347031e-17
1.1,"FR",-3.6074398447992e-17
1.1,"HR",3.96498542703873e-17
1.1,"HU",5.8389993315568e-18
1.1,"IE",1.10968092353891e-17
1.1,"IS",0
1.1,"IT",-1.58805367092439e-17
1.1,"LT",0
1.1,"LU",0
1.1,"LV",1.38777878078145e-17
1.1,"ME",0
1.1,"MK",0
1.1,"MT",0
1.1,"NL",5.23375365863681e-17
1.1,"NO",-1.85037170770859e-17
1.1,"PL",3.44390744819226e-17
1.1,"PT",2.31367049542512e-17
1.1,"RO",3.48830432545363e-17
1.1,"RS",-2.37885573095168e-17
1.1,"SE",-5.08863513392493e-17
1.1,"SI",0
1.1,"SK",-3.46944695195361e-17
1.1,"TR",5.25567003112348e-17
1.1,"UK",-1.71211670727392e-17
1.1,"XK",-3.70063047769089e-17
1.2,"AL",2.77555756156289e-17
1.2,"AT",-1.8505975831612e-17
1.2,"BA",-5.55111512312578e-17
1.2,"BE",4.0364354062466e-17
1.2,"BG",2.28503579926118e-17
1.2,"CH",-1.11022302462516e-17
1.2,"CY",-5.55111512312578e-17
1.2,"CZ",-4.07050153132527e-17
1.2,"DE",2.13724764972784e-17
1.2,"DK",-2.77555756156289e-17
1.2,"EE",-3.70085635314349e-17
1.2,"EL",3.70044224814705e-17
1.2,"ES",4.57082184720537e-18
1.2,"FI",7.93210053691627e-18
1.2,"FR",-1.14084520465948e-17
1.2,"HR",1.58612969608705e-17
1.2,"HU",2.92135422212607e-17
1.2,"IE",-2.22098815033656e-17
1.2,"IS",0
1.2,"IT",2.24349179899999e-17
1.2,"LT",0
1.2,"LU",0
1.2,"LV",-2.77555756156289e-17
1.2,"ME",0
1.2,"MK",4.16333634234434e-17
1.2,"MT",0
1.2,"NL",2.22044604925031e-17
1.2,"NO",9.25185853854297e-18
1.2,"PL",-4.88281196934867e-17
1.2,"PT",-3.70144927620657e-17
1.2,"RO",4.12442122865334e-17
1.2,"RS",-4.75800187319956e-17
1.2,"SE",-3.70074341541719e-17
1.2,"SI",0
1.2,"SK",-6.93889390390723e-18
1.2,"TR",-1.75020188857084e-17
1.2,"UK",-1.18074230209937e-17
1.2,"XK",-3.70074341541719e-17
1.3,"AL",1.38777878078145e-17
1.3,"AT",5.55111512312578e-17
1.3,"BA",3.33012697278923e-17
1.3,"BE",2.52323414687536e-17
1.3,"BG",-5.2235425696888e-17
1.3,"CH",1.11022302462516e-17
1.3,"CY",0
1.3,"CZ",3.70072082787193e-17
1.3,"DE",1.79165820724808e-17
1.3,"DK",-1.38777878078145e-17
1.3,"EE",-3.70096929086979e-17
1.3,"EL",-1.23297880393213e-17
1.3,"ES",-1.37092166481198e-17
1.3,"FI",-7.93161651808927e-18
1.3,"FR",-3.80964804026288e-17
1.3,"HR",7.93210053691627e-18
1.3,"HU",2.33788226351216e-17
1.3,"IE",2.22098815033656e-17
1.3,"IS",0
1.3,"IT",-3.49808473255126e-17
1.3,"LT",-3.70071518098561e-17
1.3,"LU",0
1.3,"LV",2.77555756156289e-17
1.3,"ME",0
1.3,"MK",4.16333634234434e-17
1.3,"MT",0
1.3,"NL",4.75794379094032e-17
1.3,"NO",-2.77555756156289e-17
1.3,"PL",-5.78202214615384e-18
1.3,"PT",-3.23767050315326e-17
1.3,"RO",2.85493664919129e-17
1.3,"RS",-4.75790506943416e-17
1.3,"SE",2.31341638554095e-17
1.3,"SI",2.77555756156289e-17
1.3,"SK",-1.38777878078145e-17
1.3,"TR",2.69837948586359e-17
1.3,"UK",-1.41695996691324e-17
1.3,"XK",0
1.4,"AL",4.16333634234434e-17
1.4,"AT",4.62592926927149e-17
1.4,"BA",3.33012697278923e-17
1.4,"BE",-1.00960167073096e-17
1.4,"BG",4.24528927126456e-17
1.4,"CH",1.66533453693773e-17
1.4,"CY",0
1.4,"CZ",0
1.4,"DE",-1.73472347597681e-17
1.4,"DK",-1.38777878078145e-17
1.4,"EE",0
1.4,"EL",2.46776461148506e-17
1.4,"ES",-3.19351378603491e-17
1.4,"FI",-3.17216258840871e-17
1.4,"FR",4.08219670912711e-17
1.4,"HR",1.58612969608705e-17
1.4,"HU",4.09058067024334e-17
1.4,"IE",-1.10968092353891e-17
1.4,"IS",0
1.4,"IT",-2.17701988009165e-17
1.4,"LT",1.85039994214017e-17
1.4,"LU",0
1.4,"LV",4.16333634234434e-17
1.4,"ME",0
1.4,"MK",-5.55111512312578e-17
1.4,"MT",0
1.4,"NL",-2.85454943412969e-17
1.4,"NO",3.70074341541719e-17
1.4,"PL",4.59164293332837e-17
1.4,"PT",-4.62112941590371e-18
1.4,"RO",-4.9170117382464e-17
1.4,"RS",-3.96498542703873e-17
1.4,"SE",3.70074341541719e-17
1.4,"SI",0
1.4,"SK",3.46944695195361e-17
1.4,"TR",1.82984081788532e-17
1.4,"UK",8.8523953976875e-18
1.4,"XK",3.70051753996459e-17
1.5,"AL",0
1.5,"AT",2.77555756156289e-17
1.5,"BA",0
1.5,"BE",5.04600627577948e-17
1.5,"BG",-6.52912925930609e-18
1.5,"CH",-4.44089209850063e-17
1.5,"CY",-5.55111512312578e-17
1.5,"CZ",1.85058911283172e-17
1.5,"DE",5.43649038953859e-17
1.5,"DK",0
1.5,"EE",-3.70096929086979e-17
1.5,"EL",2.46776461148506e-17
1.5,"ES",-1.9785204439405e-17
1.5,"FI",-5.55111512312578e-17
1.5,"FR",-3.34689455126702e-17
1.5,"HR",2.37924294601328e-17
1.5,"HU",1.75426764671766e-17
1.5,"IE",-1.10968092353891e-17
1.5,"IS",0
1.5,"IT",1.32080670908521e-17
1.5,"LT",3.70060224325931e-17
1.5,"LU",0
1.5,"LV",5.55111512312578e-17
1.5,"ME",0
1.5,"MK",0
1.5,"MT",0
1.5,"NL",-3.48927236310763e-17
1.5,"NO",-2.77555756156289e-17
1.5,"PL",-3.63525511178028e-17
1.5,"PT",-5.08900218153541e-17
1.5,"RO",-3.17140751903858e-17
1.5,"RS",7.93210053691627e-18
1.5,"SE",9.25185853854297e-18
1.5,"SI",2.77555756156289e-17
1.5,"SK",-3.46944695195361e-17
1.5,"TR",-1.02521301481146e-17
1.5,"UK",-1.71211670727392e-17
1.5,"XK",3.70029166451199e-17
1.6,"AL",-2.77555756156289e-17
1.6,"AT",-2.77555756156289e-17
1.6,"BA",1.11022302462516e-17
1.6,"BE",-3.02785017505235e-17
1.6,"BG",-2.93946341940335e-17
1.6,"CH",-5.55111512312578e-17
1.6,"CY",-2.77555756156289e-17
1.6,"CZ",2.96036603343799e-17
1.6,"DE",-5.03069808033274e-17
1.6,"DK",0
1.6,"EE",0
1.6,"EL",3.70134574995746e-17
1.6,"ES",-1.52382387530154e-18
1.6,"FI",1.58637170550055e-17
1.6,"FR",-2.00625570530433e-17
1.6,"HR",-1.58632330361785e-17
1.6,"HU",-1.16779986631136e-17
1.6,"IE",0
1.6,"IS",0
1.6,"IT",3.5651697419738e-17
1.6,"LT",-1.85073875531907e-17
1.6,"LU",0
1.6,"LV",-2.77555756156289e-17
1.6,"ME",0
1.6,"MK",-2.77555756156289e-17
1.6,"MT",0
1.6,"NL",4.12353063401165e-17
1.6,"NO",9.25185853854297e-18
1.6,"PL",-2.19812643900984e-17
1.6,"PT",-5.55111512312578e-17
1.6,"RO",1.57751416096641e-18
1.6,"RS",-3.56886441901992e-17
1.6,"SE",-1.84991995680339e-17
1.6,"SI",2.77555756156289e-17
1.6,"SK",2.77555756156289e-17
1.6,"TR",-3.65582986489471e-17
1.6,"UK",-1.77278589267045e-18
1.6,"XK",1.8508234586138e-17
1.7,"AL",0
1.7,"AT",2.77555756156289e-17
