X;Y;citynumber;cityname;cityfile;country;field_4;field_5
12.1042891631538;49.0168922116647;96;Regensburg;de028l_regensburg;Allemagne;4474941.92;2880390.22
10.8986524447212;48.3688015123625;97;Augsburg;de033l_augsburg;Allemagne;4387609.85;2806551.68
13.4086201248494;52.5182677455028;98;Berlin;de001l_berlin;Allemagne;4552290.95;3273087.2
7.01587066437284;51.458145164189;99;Essen;de038l_essen;Allemagne;4113657.22;3153949.05
12.5701631932144;55.6752832651717;100;Kobenhavn;dk001l_kobenhavn;Danemark;4482756;3621869.52
10.3885654583156;55.3960082807947;101;Odense;dk003l_odense;Danemark;4345632.67;3587972.15
10.2031300676381;56.1526440326754;102;Aarhus;dk002l_aarhus;Danemark;4333633.12;3672113.8
9.92072567273478;57.0482619761605;103;Aalborg;dk004l_aalborg;Danemark;4316183.43;3771738.75
24.7452000284766;59.4369999809413;104;Tallinn;ee001l_tallinn;Estonie;5152547.78;4124099.83
26.721940278789;58.3800494321732;105;Tartu;ee002l_tartu;Estonie;5290446.55;4034306.69
-0.377389396933126;39.4699667807423;106;Valencia;es003l_valencia;Espagne;3426005.01;1881067.69
-5.99462205119298;37.3886975843735;107;Sevilla;es004l_sevilla;Espagne;2904992.64;1738954.18
-0.877439955086202;41.6559988362644;108;Zaragoza;es005l_zaragoza;Espagne;3414990.34;2126922.25
-15.4277980505016;28.1235990136455;109;Las Palmas;es008l_las_palmas;Espagne;1816918.6;984295.49
-4.72865486101117;41.6524000142662;110;Valladolid;es009l_valladolid;Espagne;3098156.62;2180934.85
2.65017673054484;39.5693732651549;111;Palma de Mallorca;es010l_palma_di_mallorca;Espagne;3686975.23;1861554.6
-2.9234200752567;43.2641721654774;112;Bilbao;es019l_bilbao;Espagne;3274748.93;2329926.33
-4.7762604939249;37.8851334226692;113;Cordoba;es020l_cordoba;Espagne;3020705.12;1771227.42
-8.72667061409752;42.2362843293603;114;Vigo;es022l_vigo;Espagne;2787975.84;2317756.36
-5.66217718794518;43.5450548848873;115;Gijon;es023l_gijon;Espagne;3062455.8;2402804.46
-3.80997826328742;43.462175261943;116;Santander;es015l_santander;Espagne;3207650.25;2364388.44
-0.481328158505417;38.3452160404154;117;Alicante;es021l_alicante;Espagne;3401679.31;1759023.15
-16.2546546545031;28.4698890928533;118;Santa Cruz de Tenerife;es025l_santa_cruz_de_tenerife;Espagne;1748925.05;1047566.96
-4.41495895386252;36.7203579939955;119;Malaga;es006l_malaga;Espagne;3030593.680893;1638411.558453
-1.13022633849354;37.9834254578793;120;Murcia;es007l_murcia;Espagne;3339988.8;1727487.94
-8.5461481584228;42.8803528770432;121;Santiago de Compostela;es011l_santiago_de_compostela;Espagne;2818727.67;2383804.47
-6.96977300250092;38.8787886187885;122;Badajoz;es017l_badajoz;Espagne;2852887.31;1919060.98
-2.43924057676802;42.4663431824263;123;Logrono;es018l_logrono;Espagne;3299881.68;2235820.95
-2.67232427886838;42.8467201828304;124;Vitoria Gasteiz;es012l_vitoria_gasteiz;Espagne;3287563.4;2280698.91
-1.64414095174797;42.8184280079183;125;Pamplona Iruna;es014l_pamplona_iruna;Espagne;3370161.81;2264007.91
-5.84468216959331;43.3604709726801;126;Oviedo;es013l_oviedo;Espagne;3043994.22;2385780.95
-4.0249843750133;39.8565966824991;127;Toledo;es016l_toledo;Espagne;3122078.37;1973697.98
-3.69209149483531;40.4188606811377;128;Madrid;es001l_madrid;Espagne;3160408.2;2029896.34
2.17714840195255;41.3825110239254;129;Barcelona;es002l_barcelona;Espagne;3665282.52;2065232.04
24.9529042048714;60.168092581365;130;Helsinki;fi001l_helsinki;Finlande;5146128.64;4206120.48
23.7594427992742;61.4980304724688;131;Tampere;fi002l_tampere;Finlande;5050974.27;4337830.34
25.4720111669674;65.01396866512;132;Oulu;fi004l_oulu;Finlande;5048289.35;4737400.4
22.2686323365791;60.4487944592435;133;Turku;fi003l_turku;Finlande;4994263.6;4208331.24
22.9539132513464;40.6233938870917;134;Thessaloniki;gr002l_thessaloniki;Grèce;5416193.88;2041247.56
21.7332174770329;38.2454263652152;135;Patrai;gr003l_patrai;Grèce;5350722.33;1764083.68
25.156318427626;35.3422412284365;136;Iraklion;gr004l_iraklion;Grèce;5703069.05;1501634.71
22.4151503249531;39.6375950222246;137;Larisa;gr005l_larisa;Grèce;5387379.29;1925734.69
22.9409743947792;39.3627107164325;138;Volos;gr006l_volos;Grèce;5436748.18;1903235.86
